Thème,ID,Mesure,Statut,Emoji,Score (%),Priorité,Justification
I – Sensibiliser et former,I-1,Former les équipes opérationnelles,Partiellement conforme,🟡,50,Medium,"**Statut** : Partiellement conforme

**Justification** : L'organisation a mis en place des sessions de sensibilisation annuelles et un programme de formation continue pour les utilisateurs, ce qui montre un effort pour former les équipes opérationnelles. Cependant, il manque des détails sur les processus de validation et d'évaluation de l'efficacité de ces formations, ainsi que sur les indicateurs de performance associés."
I – Sensibiliser et former,I-2,Sensibiliser les utilisateurs,Conforme,✅,100,Low,"**Statut** : Conforme

**Justification** : L'organisation met en place des sessions de sensibilisation annuelles et un programme de formation continue pour informer les utilisateurs sur les menaces et les meilleures pratiques. De plus, elle documente les incidents et les mesures prises, ce qui renforce la vigilance des employés."
I – Sensibiliser et former,I-3,Maîtriser les risques de l’infogérance,Partiellement conforme,🟡,50,Medium,"**Statut** : Partiellement conforme

**Justification** : L'organisation a mis en place une gouvernance solide avec un comité dédié à la gestion des logs et à la supervision des indicateurs clés. Cependant, les processus d'infogérance et les contrôles techniques spécifiques à la gestion des risques liés à l'infogérance ne sont pas suffisamment détaillés dans les documents fournis, ce qui limite la maîtrise complète des risques associés."
II – Connaître le SI,II-4,Identifier données/serveurs sensibles & schéma réseau,Partiellement conforme,🟡,50,Medium,"**Statut** : Partiellement conforme

**Justification** : L'organisation a mis en place des processus pour identifier les données et serveurs sensibles, notamment à travers une classification des systèmes d'information et une gestion des incidents de fuite de données. Cependant, il manque des détails sur la documentation spécifique des schémas réseau et sur les indicateurs de performance liés à cette identification."
II – Connaître le SI,II-5,Inventaire des comptes privilégiés,Non conforme,❌,0,High,"**Statut** : Non conforme

**Justification** : L'organisation ne présente pas d'inventaire spécifique des comptes privilégiés, ni de processus clairement défini pour leur gestion. Bien que des procédures de gestion des logs et de classification des systèmes d'information soient mentionnées, elles ne couvrent pas explicitement les comptes privilégiés, ce qui constitue une lacune dans la gouvernance et les contrôles techniques nécessaires."
II – Connaître le SI,II-6,Procédures arrivée/départ/changement,Partiellement conforme,🟡,50,Medium,"**Statut** : Partiellement conforme

**Justification** : L'organisation a mis en place des procédures pour la gestion des logs, mais il n'est pas clairement indiqué comment les procédures d'arrivée, de départ et de changement des utilisateurs sont spécifiquement adressées. Bien que des processus de validation et de suivi soient mentionnés, l'absence de détails sur les processus d'approbation et de contrôle technique pour ces changements limite la conformité."
II – Connaître le SI,II-7,Autoriser la connexion aux seuls équipements maîtrisés,Partiellement conforme,🟡,50,Medium,"{
  ""status"": ""Partiellement conforme"",
  ""justification"": ""L'organisation a mis en place des mesures de gouvernance et des processus pour superviser la gestion des logs et des incidents, mais il n'est pas clairement indiqué comment elle limite les connexions aux seuls équipements maîtrisés. Bien que des dispositifs de sécurité soient mentionnés, tels que des firewalls et des systèmes de détection, l'absence de détails sur les contrôles d'accès spécifiques aux équipements maîtrisés laisse un flou sur la conformité totale à cette exigence."",
  ""citations"": [
    {""doc"": ""CFG - Procédure de gestion et revue des logs V0.1.docx"", ""page"": 4},
    {""doc"": ""CFG - Procédure de gestion et revue des logs V0.1.docx"", ""page"": 5},
    {""doc"": ""CFG Politique de lutte contre les fuites de données"
III – Authentifier & contrôler les accès,III-10,Règles de mots de passe,Non conforme,❌,0,High,"**Statut** : Non conforme

**Justification** : L'organisation ne présente pas de règles spécifiques concernant la gestion des mots de passe dans les documents fournis. Bien que des processus de gouvernance et de gestion des logs soient décrits, il n'y a aucune mention explicite des exigences relatives aux mots de passe, ce qui est essentiel pour garantir la sécurité des accès. Les documents se concentrent principalement sur la gestion des logs et des fuites de données sans aborder les politiques de mots de passe."
III – Authentifier & contrôler les accès,III-11,Protéger les mots de passe stockés,Non conforme,❌,0,High,"**Statut** : Non conforme

**Justification** : L'organisation ne fournit pas de mesures spécifiques concernant la protection des mots de passe stockés. Bien que des processus de gestion des logs et de lutte contre les fuites de données soient en place, il n'y a aucune mention de contrôles techniques ou de politiques dédiées à la sécurisation des mots de passe, ce qui est essentiel pour répondre à cette exigence."
III – Authentifier & contrôler les accès,III-12,Changer les identifiants par défaut,Non conforme,❌,0,High,"**Statut** : Non conforme

**Justification** : L'organisation ne mentionne pas explicitement de processus ou de contrôles techniques pour changer les identifiants par défaut. Bien que des procédures de gestion des logs et des audits soient en place, il n'y a pas d'indication sur la gestion des identifiants par défaut, ce qui est essentiel pour la sécurité des systèmes."
